Title,Price,Date
Tipping the Velvet,53.74,2024-02-19
Tipping the Velvet,53.74,2024-02-19
Tipping the Velvet,53.74,2024-02-19
Tipping the Velvet,53.74,2024-02-19
Tipping the Velvet,53.74,2024-02-19
Tipping the Velvet,53.74,2024-02-19
Tipping the Velvet,53.74,2024-02-19
Tipping the Velvet,53.74,2024-02-19
Tipping the Velvet,53.74,2024-02-19
Tipping the Velvet,53.74,2024-02-19
Tipping the Velvet,53.74,2024-02-19
Tipping the Velvet,53.74,2024-02-19
Tipping the Velvet,53.74,2024-02-19
Tipping the Velvet,53.74,2024-02-19
